STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
221,3383608,13468,100-CTY TNHH SAMRAN-NR,,,40,Y,,
222,3383609,13468,100-CTY TNHH SAMRAN-NR,,,40,Y,,
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,,,24,Y,,
229,3012794,12989,100-CTY TNHH SAMRAN,,,76,Y,,
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,,,34,Y,,
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,,,12,Y,,
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,,,4,Y,,
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,,,13,Y,,
236,3253175,12989,100-CTY TNHH SAMRAN,,,242,Y,,
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,x,MA C,ma C,N,,
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,x,MA C,ma C,N,,
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,,,23,Y,,
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,,,29,Y,,
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,,,21,Y,,
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,,,26,Y,,
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,,,1,Y,,
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,,,29,Y,,
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,,,31,Y,,
266,3350607,16964,100-CTy TNHH Tan Hop Thanh,,,1,Y,,
